campaign_id,campaign_name,channel,region,start_date,end_date,impressions,clicks,spend_idr,conversions,revenue_idr
CMP0001,Buy 1 Get 1,Google Ads,Bandung,3/4/2024,3/15/2024,119033,14238,18412255,2820,188484835
CMP0002,Loyalty Points Boost,Instagram,Surabaya,6/27/2022,7/18/2022,131574,10514,27340884,2248,48791811
CMP0003,Ramadan Deals,Instagram,Jakarta,8/8/2022,8/16/2022,143442,3520,5810019,369,27452840
CMP0004,Flash Sale,Google Ads,Medan,4/8/2024,4/18/2024,199941,26140,23282845,1574,59055476
CMP0005,Buy 1 Get 1,Email,Medan,2/26/2024,3/15/2024,72915,5802,27605261,1197,105146922
CMP0006,Flash Sale,TikTok,Jakarta,10/17/2022,11/4/2022,175392,13706,12381085,1623,62324019
CMP0007,Valentine Promo,Shopee Ads,Bandung,1/30/2023,2/18/2023,141940,20426,21610290,6789,452798903
CMP0008,Loyalty Points Boost,Google Ads,Yogyakarta,12/16/2024,12/29/2024,152420,20946,11399335,6179,417089907
CMP0009,Cashback 50%,Shopee Ads,Jakarta,7/22/2024,7/31/2024,164995,15897,17313979,1634,68974318
CMP0010,End Year Treat,TikTok,Yogyakarta,8/22/2022,9/4/2022,12896,1409,13858469,557,22854029
CMP0011,Buy 1 Get 1,Instagram,Surabaya,10/14/2024,10/27/2024,19827,1904,19069278,622,52926405
CMP0012,Coffee Festival,Instagram,Jakarta,1/1/2024,1/22/2024,86704,4902,19007942,645,22372249
CMP0013,Loyalty Points Boost,In-App Banner,Surabaya,7/15/2024,7/28/2024,70594,4191,25972627,864,24195076
CMP0014,Coffee Festival,Google Ads,Surabaya,10/9/2023,10/20/2023,103221,11895,22880881,4102,331108411
CMP0015,New Store Opening,In-App Banner,Surabaya,7/29/2024,8/17/2024,171045,24225,13276832,4879,484787871
CMP0016,Cashback 50%,Email,Medan,2/21/2022,3/9/2022,63833,3753,23669706,853,28525749
CMP0017,Cashback 50%,Instagram,Medan,10/10/2022,10/31/2022,88017,13029,14123678,4000,264111114
CMP0018,Ramadan Deals,Google Ads,Bandung,6/10/2024,6/26/2024,52798,1989,18246252,727,59390926
CMP0019,Cashback 50%,Shopee Ads,Bandung,10/10/2022,10/23/2022,182023,19918,16287226,3272,74321646
CMP0020,Flash Sale,Shopee Ads,Surabaya,7/22/2024,8/1/2024,130441,13923,4597024,3951,160270718
CMP0021,Cashback 50%,Instagram,Jakarta,1/23/2023,2/5/2023,119641,16474,9446454,2508,91201739
CMP0022,Buy 1 Get 1,In-App Banner,Medan,6/19/2023,7/9/2023,108395,5439,4594237,1070,38961746
CMP0023,Loyalty Points Boost,Email,Medan,8/26/2024,9/4/2024,148018,19347,16167222,7118,264821900
CMP0024,Buy 1 Get 1,Google Ads,Yogyakarta,2/13/2023,2/22/2023,68300,2855,21757931,574,45010210
CMP0025,Cashback 50%,Email,Jakarta,5/1/2023,5/8/2023,164340,4800,22760655,425,31862595
CMP0026,Free Delivery,Google Ads,Medan,11/18/2024,12/7/2024,159946,13468,13616850,3343,264522001
CMP0027,Ramadan Deals,Email,Yogyakarta,6/19/2023,6/30/2023,27991,309,22300251,64,3542564
CMP0028,Loyalty Points Boost,Instagram,Medan,8/5/2024,8/19/2024,47508,5460,25667747,1720,62259653
CMP0029,Ramadan Deals,Shopee Ads,Surabaya,4/18/2022,5/7/2022,55319,8122,28814769,428,8589084
CMP0030,Free Delivery,Instagram,Bandung,4/24/2023,5/12/2023,78190,4531,25262089,960,53044834
CMP0031,Buy 1 Get 1,Email,Jakarta,10/9/2023,10/17/2023,10638,643,6155548,172,7936095
CMP0032,Flash Sale,Email,Yogyakarta,12/19/2022,1/7/2023,156484,15482,21744292,1645,115701205
CMP0033,Valentine Promo,Instagram,Jakarta,12/18/2023,1/2/2024,107332,3863,11976360,1102,29615699
CMP0034,Coffee Festival,Shopee Ads,Surabaya,9/26/2022,10/3/2022,184195,12041,26640543,928,51283540
CMP0035,Flash Sale,Email,Medan,12/23/2024,1/11/2025,47011,4455,10444535,1688,153787530
CMP0036,New Store Opening,Google Ads,Bandung,4/3/2023,4/17/2023,10315,350,16945308,46,3410938
CMP0037,Flash Sale,Google Ads,Bandung,3/20/2023,3/29/2023,20073,1801,4361901,467,18011428
CMP0038,Ramadan Deals,TikTok,Jakarta,8/8/2022,8/23/2022,35495,3272,24970322,899,46512085
CMP0039,Flash Sale,TikTok,Medan,5/9/2022,5/17/2022,157480,11421,24860060,1615,123176959
CMP0040,Coffee Festival,TikTok,Jakarta,11/18/2024,12/3/2024,196311,15320,5798949,2338,193098405
CMP0041,Flash Sale,Email,Surabaya,4/15/2024,4/24/2024,97865,9336,11954654,2424,182562882
CMP0042,Free Delivery,Google Ads,Medan,12/26/2022,1/10/2023,143577,4465,5015391,1402,127515749
CMP0043,Loyalty Points Boost,Email,Medan,4/4/2022,4/13/2022,199022,15536,29633955,1104,70671323
CMP0044,Loyalty Points Boost,Google Ads,Bandung,9/19/2022,10/6/2022,21204,1471,11963142,179,17574990
CMP0045,Coffee Festival,Email,Surabaya,9/5/2022,9/14/2022,103175,4208,27765982,567,21454598
CMP0046,Flash Sale,TikTok,Jakarta,5/6/2024,5/17/2024,77124,11541,4253296,3439,267468173
CMP0047,Valentine Promo,Google Ads,Surabaya,6/27/2022,7/14/2022,197191,28898,15775539,8960,408383017
CMP0048,Buy 1 Get 1,Shopee Ads,Medan,11/18/2024,11/25/2024,16294,2174,8167858,619,55793650
CMP0049,Free Delivery,In-App Banner,Medan,11/25/2024,12/8/2024,69065,6610,2401676,616,47637236
CMP0050,Buy 1 Get 1,Shopee Ads,Yogyakarta,1/10/2022,1/20/2022,176558,15511,5549783,2861,132423918
CMP0051,Coffee Festival,Instagram,Bandung,12/30/2024,1/9/2025,71706,1146,6438026,221,21793256
CMP0052,Coffee Festival,Shopee Ads,Bandung,10/10/2022,10/31/2022,38967,4890,28316866,271,24257284
CMP0053,New Store Opening,Instagram,Jakarta,8/19/2024,8/29/2024,52609,3348,28746730,1256,108811104
CMP0054,Free Delivery,In-App Banner,Bandung,4/4/2022,4/18/2022,58219,6171,8995662,816,58118861
CMP0055,Flash Sale,TikTok,Jakarta,8/21/2023,9/4/2023,48713,2261,12798373,190,12181341
CMP0056,Flash Sale,Google Ads,Medan,1/23/2023,2/3/2023,199628,2115,6354930,416,38037475
CMP0057,Flash Sale,Shopee Ads,Yogyakarta,4/17/2023,5/3/2023,23764,2253,6987227,202,7871370
CMP0058,Ramadan Deals,TikTok,Medan,12/18/2023,1/1/2024,70416,1146,16284078,192,11190548
CMP0059,New Store Opening,Instagram,Yogyakarta,11/4/2024,11/14/2024,49298,1331,22555525,445,36193344
